Rank,Forbes 2000 rank,Name,Headquarters,Revenue(billions US$),Profit(billions US$),Assets(billions US$),Value(billions US$),Industry
1,79,Stellantis,Amsterdam,176.61,16.78,195.33,44.26,Automotive
2,112,Airbus,Leiden,61.64,4.98,129.16,88.60,Aerospace and defense
3,183,ING Group,Amsterdam,21.49,5.65,"1,081.81",39.03,Banking
4,280,ASML Holding,Veldhoven,20.65,6.09,33.64,247.80,Electronics
5,288,Ahold Delhaize,Zaandam,89.36,2.66,51.98,30.57,Retail
6,336,NN Group,The Hague,22.38,3.80,285.02,15.72,Insurance
7,409,Heineken N.V.,Amsterdam,25.93,1.97,56.66,23.41,Beverages
8,418,Aegon N.V.,The Hague,26.33,1.95,509.34,11.76,Insurance
9,424,Philips,Eindhoven,20.28,3.92,35.45,26.39,Conglomerate
10,656,NXP Semiconductors,Eindhoven,11.06,1.87,21.25,44.83,Electronics
11,744,DSM,Heerlen,10.88,1.98,18.21,28.70,Chemicals
12,773,HAL Investments [nl],Curaçao,8.68,5.05,25.73,12.80,Finance
13,874,ASR Nederland,Utrecht,11.72,1.06,84.86,6.61,Insurance
14,890,Universal Music,Hilversum,10.05,1.05,13.89,46.20,Music
15,1059,JDE Peet's,Amsterdam,8.28,0.90,25.00,15.03,Beverages
16,1067,AkzoNobel,Amsterdam,11.44,0.88,17.41,15.61,Chemicals
17,1070,Randstad Holding,Diemen,29.12,0.90,12.76,10.41,Consulting
18,1266,KPN,Rotterdam,6.23,1.52,14.48,14.33,Telecommunication
19,1941,ASM International,Almere,2.15,0.59,3.33,16.59,Electronics
20,1964,VEON,Amsterdam,8.11,0.67,15.92,1.04,Telecommunication
